Category,Information,Source
Company Name,Infosys Limited,Official Infosys Website
Former Name,Infosys Consultants Private Limited,Official Infosys Website
Founded,1981,Official Infosys Website
Industry,Information Technology and Digital Services,Official Infosys Website
Business Type,Global IT Services and Consulting Company,Official Infosys Website
Headquarters,Bengaluru Karnataka India,Official Infosys Website
Registered Office,Electronics City Hosur Road Bengaluru 560100 India,Infosys Investor FAQ
Website,https://www.infosys.com,Official Infosys Website
Stock Exchange,NSE BSE NYSE,Infosys Investor Information
NYSE Ticker,INFY,Official Infosys Website
CEO and Managing Director,Salil Parekh,Infosys Annual Report
Chairman,Nandan M Nilekani,Infosys Annual Report
Employees,328594 as of March 31 2026,Infosys Annual Report
Countries Present,59,Official Infosys Website
Global Locations,290 locations,Infosys Investor FAQ
FY2026 Revenue,INR 178650 crore,Infosys FY2026 Financial Results
FY2026 Net Profit,INR 29440 crore,Infosys FY2026 Financial Results
FY2026 Operating Margin,20.3 percent,Infosys FY2026 Financial Results
FY2026 Basic EPS,INR 71.58,Infosys FY2026 Financial Results
FY2026 Dividend Per Share,INR 48.00,Infosys FY2026 Financial Results
Major Business Areas,Consulting Technology Engineering Outsourcing Digital Services,Infosys Investor FAQ
Key Technology Areas,AI Cloud Data Digital Transformation,Official Infosys Website
Purpose,To amplify human potential and create the next opportunity for people businesses and communities,Official Infosys Website
CIN,L85110KA1981PLC013115,Infosys Investor FAQ
